Player,CM,KG,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating,Player,CM,KG,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Player,CM,KG,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Player,CM,KG,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
"Christian Eriksen Ajax, 26, M(CLR)",182,76,4,360,2,3,1,-,3,85.7,-,1,8.02,"Christian Eriksen Ajax, 26, M(CLR)",182,76,4,360,1.5,0.5,1,-,1.8,0.3,-,-,8.02,"Christian Eriksen Ajax, 26, M(CLR)",182,76,4,360,2,3,3,3,0.5,1,-,1,1.3,8.02,"Christian Eriksen Ajax, 26, M(CLR)",182,76,4,360,3,3,59.3,85.7,2.5,1.5,0.8,8.02
"Joël Veltman Ajax, 26, D(CR)",184,75,24(1),2158,2,2,2,-,0.5,89.2,2.4,7,7.68,"Joël Veltman Ajax, 26, D(CR)",184,75,24(1),2158,2,2,1,0.9,5.6,0.4,0.4,-,7.68,"Joël Veltman Ajax, 26, D(CR)",184,75,24(1),2158,2,2,0.5,0.3,1.8,2,-,0.3,0.4,7.68,"Joël Veltman Ajax, 26, D(CR)",184,75,24(1),2158,2,0.3,81.9,89.2,-,9,0.1,7.68
"Lasse Schöne Ajax, 32, M(CLR)",177,78,25(4),2152,9,8,1,-,1.6,82.8,1,4,7.39,"Lasse Schöne Ajax, 32, M(CLR)",177,78,25(4),2152,1.2,0.8,0.8,-,0.8,0.9,0.1,-,7.39,"Lasse Schöne Ajax, 32, M(CLR)",177,78,25(4),2152,9,8,1.6,2,1,1.1,0.1,1.7,1.4,7.39,"Lasse Schöne Ajax, 32, M(CLR)",177,78,25(4),2152,8,2,36.5,82.8,2,1.1,0.1,7.39
"Daley Blind Ajax, 28, D(CL),DMC,M(L)",180,72,29,2533,1,1,4,-,1,88.1,1.5,2,7.38,"Daley Blind Ajax, 28, D(CL),DMC,M(L)",180,72,29,2533,2.7,2.6,1,0.1,2,1.3,0.2,-,7.38,"Daley Blind Ajax, 28, D(CL),DMC,M(L)",180,72,29,2533,1,1,1,1.3,0.7,0.9,-,0.6,1,7.38,"Daley Blind Ajax, 28, D(CL),DMC,M(L)",180,72,29,2533,1,1.3,72,88.1,0.3,5,0.1,7.38
"Niklas Moisander Ajax, 32, D(C)",183,75,22(1),1985,1,2,-,-,0.7,89.6,1.9,-,7.35,"Niklas Moisander Ajax, 32, D(C)",183,75,22(1),1985,1.5,1.6,0.6,0.7,4.8,0.7,0.4,-,7.35,"Niklas Moisander Ajax, 32, D(C)",183,75,22(1),1985,1,2,0.7,0.7,0.8,0.6,-,0.3,0.3,7.35,"Niklas Moisander Ajax, 32, D(C)",183,75,22(1),1985,2,0.7,90.3,89.6,0.1,11.5,0.2,7.35
"Davy Klaassen Ajax, 25, AM(C)",179,70,23(3),2102,10,3,1,-,1.7,81.7,0.9,3,7.33,"Davy Klaassen Ajax, 25, AM(C)",179,70,23(3),2102,2.1,0.8,1.2,-,1.1,0.4,0.2,-,7.33,"Davy Klaassen Ajax, 25, AM(C)",179,70,23(3),2102,10,3,1.7,1,0.7,1.1,0.2,1,1.4,7.33,"Davy Klaassen Ajax, 25, AM(C)",179,70,23(3),2102,3,1,35.6,81.7,0.1,1.4,0.2,7.33
"Jasper Cillessen Ajax, 29, GK",185,83,24(1),2205,-,-,-,-,-,71.5,0.2,1,7.12,"Jasper Cillessen Ajax, 29, GK",185,83,24(1),2205,-,-,-,-,1,0.1,-,-,7.12,"Jasper Cillessen Ajax, 29, GK",185,83,24(1),2205,-,-,-,0.1,0.1,0.3,-,-,-,7.12,"Jasper Cillessen Ajax, 29, GK",185,83,24(1),2205,-,0.1,37.4,71.5,-,8.8,-,7.12
"Stefano Denswil Ajax, 25, D(C)",188,81,15(2),1350,1,-,1,-,0.7,91.6,1.6,2,7.11,"Stefano Denswil Ajax, 25, D(C)",188,81,15(2),1350,1.6,1.1,1.2,0.9,3.4,0.6,0.5,1,7.11,"Stefano Denswil Ajax, 25, D(C)",188,81,15(2),1350,1,-,0.7,0.2,0.4,0.6,0.1,0.4,0.2,7.11,"Stefano Denswil Ajax, 25, D(C)",188,81,15(2),1350,-,0.2,86.4,91.6,-,8.5,-,7.11
"Thulani Serero Ajax, 28, DMC",172,68,25(4),2279,3,5,3,-,0.9,89.2,0.4,1,7.1,"Thulani Serero Ajax, 28, DMC",172,68,25(4),2279,1.8,1.4,0.8,-,0.4,0.6,0.2,-,7.1,"Thulani Serero Ajax, 28, DMC",172,68,25(4),2279,3,5,0.9,1.5,1,2.3,0.1,1.1,1.2,7.1,"Thulani Serero Ajax, 28, DMC",172,68,25(4),2279,5,1.5,43.7,89.2,0.1,1.1,0.2,7.1
"Nicolai Boilesen Ajax, 26, D(L)",185,75,17(3),1445,1,2,3,-,0.7,86,0.7,-,7.07,"Nicolai Boilesen Ajax, 26, D(L)",185,75,17(3),1445,1.2,1,0.6,0.4,1.8,0.4,-,-,7.07,"Nicolai Boilesen Ajax, 26, D(L)",185,75,17(3),1445,1,2,0.7,0.9,1.9,1.3,-,0.5,1,7.07,"Nicolai Boilesen Ajax, 26, D(L)",185,75,17(3),1445,2,0.9,50.1,86,0.8,2.4,0.1,7.07
"Ricardo van Rhijn Ajax, 27, D(R)",179,72,31(1),2787,2,3,6,1,0.6,84.8,0.9,2,7.03,"Ricardo van Rhijn Ajax, 27, D(R)",179,72,31(1),2787,1.8,1.3,0.9,0.1,1.9,0.4,0.2,-,7.03,"Ricardo van Rhijn Ajax, 27, D(R)",179,72,31(1),2787,2,3,0.6,0.8,0.4,0.4,0.1,0.5,0.6,7.03,"Ricardo van Rhijn Ajax, 27, D(R)",179,72,31(1),2787,3,0.8,51.1,84.8,1,4.3,-,7.03
"Viktor Fischer Ajax, 24, AM(L),FW",180,71,19(5),1636,3,2,1,-,2.6,82.3,0.5,-,7,"Viktor Fischer Ajax, 24, AM(L),FW",180,71,19(5),1636,0.3,0.8,0.3,-,0.1,0.5,-,-,7,"Viktor Fischer Ajax, 24, AM(L),FW",180,71,19(5),1636,3,2,2.6,1,2.2,0.7,0.2,1.7,1.4,7,"Viktor Fischer Ajax, 24, AM(L),FW",180,71,19(5),1636,2,1,26.9,82.3,0.4,0.7,0.1,7
"Ruben Ligeon Ajax, 26, D(LR)",175,73,4(1),351,-,1,-,-,0.6,89.7,0.2,-,6.96,"Ruben Ligeon Ajax, 26, D(LR)",175,73,4(1),351,3,1.4,0.4,0.2,0.8,0.6,-,-,6.96,"Ruben Ligeon Ajax, 26, D(LR)",175,73,4(1),351,-,1,0.6,0.6,1.4,0.4,-,1.6,1,6.96,"Ruben Ligeon Ajax, 26, D(LR)",175,73,4(1),351,1,0.6,35,89.7,0.6,1.6,0.2,6.96
