number,sex,proffesion,age,release
1,0,0,25,1991
1,0,0,18,1998
1,0,0,25,1997
1,0,14,18,1987
1,0,17,35,2000
1,0,4,18,1995
1,0,0,50,1968
1,0,20,50,1979
1,0,4,25,1984
1,0,17,25,1976
1,0,19,25,1993
1,0,14,25,2000
1,0,0,50,1946
1,0,7,25,1986
1,0,15,25,1990
1,0,10,18,1979
1,0,7,25,1994
1,1,17,35,1991
1,0,17,25,1982
1,0,6,50,1988
1,0,4,18,1995
1,0,4,18,0
1,0,20,25,1992
1,0,14,25,1996
1,0,15,45,1999
1,0,15,25,1988
1,0,6,35,1998
1,0,14,25,1976
1,1,16,35,0
1,0,0,50,1998
1,1,9,35,1984
1,1,18,1997
1,0,0,50,1988
1,1,45,0
1,0,14,50,1985
1,0,0,25,1995
1,0,20,25,2000
1,0,15,18,1993
1,0,4,25,1998
1,0,0,18,2000
1,0,16,35,1994
1,0,4,18,0
1,1,1,25,1986
1,1,8,56,1998
1,0,15,25,1985
1,1,4,25,1996
1,1,4,35,1994
1,1,4,45,1985
1,0,10,1,1982
1,1,35,1994
1,0,17,35,1999
1,1,3,25,1995
1,0,7,25,1998
1,0,15,35,1988
1,0,0,25,1996
1,0,2,45,1956
1,1,16,45,1940
1,0,17,25,1982
1,1,25,1999
1,0,0,18,1985
1,1,17,25,0
1,0,0,18,2000
1,0,0,18,1992
1,1,18,1994
1,0,1,35,1984
1,0,4,25,1995
1,0,0,25,1989
1,0,11,25,1995
1,1,17,35,1954
1,0,10,1,1991
1,0,5,25,1999
1,0,7,35,1979
1,0,7,56,1958
1,0,0,25,1984
1,0,4,18,0
1,1,14,18,1962
1,0,4,18,1988
1,0,0,45,1990
1,0,4,25,1978
1,0,4,18,1992
1,0,16,18,1996
1,1,3,25,1995
1,1,12,50,1975
1,0,4,18,1993
1,0,20,35,1999
1,0,17,50,1993
1,0,7,35,1979
1,0,1,50,0
1,0,7,25,1994
1,0,3,25,1958
1,0,0,35,1980
1,0,20,18,1992
1,0,1,45,1998
1,0,20,45,1979
1,0,17,35,1997
1,1,18,1999
1,0,17,25,1994
1,0,2,25,1982
1,1,4,18,1998
1,0,13,56,1984
1,0,20,56,1975
1,0,15,18,1999
1,0,6,45,1957
1,0,2,35,1995
1,0,0,18,1995
1,0,17,45,1999
1,0,17,50,1999
1,0,7,35,1991
1,0,2,25,1979
1,0,18,18,0
1,0,0,18,1991
1,1,4,25,1995
1,0,6,18,1996
1,0,7,35,1978
1,0,13,56,1975
1,0,20,25,1987
1,0,1,56,1933
1,1,6,25,1992
1,0,4,25,1985
1,0,18,25,1995
1,0,3,25,1998
1,0,13,56,1946
1,0,3,25,1994
1,1,3,25,1995
1,0,15,18,1993
1,0,12,18,1973
1,1,1,1975
1,0,1,35,1996
1,0,19,45,1964
1,0,4,18,1979
1,0,17,25,1999
1,0,17,45,1994
1,1,20,35,1986
1,1,3,25,2000
1,0,12,25,1995
1,0,11,35,1987
1,0,0,25,1985
1,1,12,18,1972
1,0,12,25,1967
1,0,2,25,1994
1,0,14,18,2000
1,0,0,25,1980
1,0,12,18,1997
1,0,18,45,1971
1,0,4,18,1989
1,1,7,18,1988
1,0,7,18,1990
1,1,13,56,2000
1,0,12,25,1993
1,0,1,35,1999
1,0,12,18,1947
1,0,17,35,1991
1,1,2,56,1965
1,0,7,25,1998
1,0,0,25,1998
1,0,4,18,0
1,1,6,35,1993
1,0,20,35,0
1,0,4,18,1997
1,0,4,18,1997
1,1,17,35,1950
1,1,1,45,1998
1,0,1,35,2000
1,1,14,25,1996
1,0,3,45,1962
1,0,2,25,1999
1,0,0,35,1992
1,0,1,45,1951
1,0,17,25,1954
1,0,17,18,1998
1,0,10,1
1,0,17,25,1989
1,0,12,35,1993
1,0,7,25,1995
1,1,1,25,1997
1,1,4,18,1992
1,0,18,35,1995
1,0,4,18,1984
1,0,1,35,1996
1,0,4,18,1989
1,0,4,18,1993
1,1,4,18,1994
1,1,25,1981
1,0,16,50,1996
1,0,6,25,1992
1,0,7,35,1991
1,1,1,35,1995
1,0,14,35,1992
1,0,2,25,1983
1,0,5,18,1998
1,0,4,18,1996
1,0,1,50,1964
1,1,25,1993
1,0,2,25,1994
1,0,4,18,1997
1,0,4,25,1999
1,0,0,25,1987
1,1,1,25,1998
1,0,17,35,1998
1,0,7,45,1980
1,0,16,25,1996
1,0,4,18,1992
1,0,7,18,1999
1,1,6,50,1993
1,0,7,18,1995
1,0,15,25,1975
1,0,17,35,1984
1,1,5,25,1988
1,0,17,56,1995
1,0,20,18,1996
1,0,17,35,1997
1,0,2,25,1998
1,1,10,1
1,0,4,25,1989
1,1,7,25,1995
1,1,13,56,1984
1,0,17,25,1996
1,0,10,1,1992
1,1,45,1998
1,0,1,50,1994
1,0,12,25,1996
1,1,9,56,1954
1,0,0,25,1971
1,1,20,25,1971
1,0,17,25,1997
1,0,4,18,1961
1,0,4,18,1999
1,0,10,1,1977
1,0,16,25,1993
1,0,14,50,1995
1,0,1,35,1984
1,0,7,45,1998
1,1,19,35,1998
1,1,56,1996
1,0,0,1,1956
1,0,20,25,1988
1,0,4,18,1989
1,1,11,25,1981
1,0,5,18,1993
1,1,1,25,1999
1,1,25,1987
1,0,19,25,1990
1,0,4,18,1995
1,0,1,56,1960
1,0,15,56,1976
1,0,1,50,1993
1,0,19,1,1997
1,0,17,25,1991
1,0,14,25,1990
1,0,0,18,1999
1,0,17,25,1999
1,0,1,50,1973
1,0,1,50,1992
1,0,17,35,1990
1,0,7,25,1958
1,0,7,18,1978
1,0,11,45,1986
1,0,10,1,2000
1,0,11,18,1998
1,0,7,35,1975
1,0,7,25,1990
1,1,1,25,1988
1,0,3,25,1986
1,0,7,25,1999
1,0,12,25,1992
1,0,7,25,1986
1,0,1,45,1964
1,0,2,25,1992
1,0,19,18,2000
1,0,4,18,1992
1,0,2,25,1995
1,0,20,50,1987
1,1,17,25,1999
1,0,4,18,1994
1,0,1,25,1997
1,0,6,25,1999
1,1,4,18,1940
1,0,16,25,1998
1,0,20,25,1969
1,1,9,25,1980
1,0,19,1
1,0,19,50,1986
1,0,0,35,1992
1,0,7,45,1981
1,0,4,25,2000
1,0,20,25,1997
1,1,1,45,1974
1,1,11,50,1962
1,0,4,18,1993
1,0,3,56,1995
1,0,7,50,1970
1,0,12,25,1982
1,0,2,25,1994
1,0,2,25,1998
1,0,11,35,0
1,0,19,25,1994
1,0,19,25,1996
1,0,12,25,1994
1,0,14,35,1984
1,0,19,25,1991
1,0,4,18,2000
1,0,17,35,1986
1,0,6,25,1989
1,0,7,45,1985
1,1,2,18,0
1,0,19,35,1951
1,0,0,25,1988
1,0,10,18,2000
1,0,0,35,1988
1,1,6,25,1993
1,0,4,18,1987
1,0,12,25,1982
1,0,20,25,1961
1,0,3,25,1958
1,0,1,45,1993
1,1,15,25,1981
1,0,10,1,1996
1,1,14,25,1986
1,0,11,25,1994
1,0,4,35,1995
1,0,0,25,1970
1,0,0,25,1994
1,0,2,25,1997
1,1,7,25,1986
1,0,4,18,1993
1,0,0,25,1991
1,0,13,56,1973
1,0,12,25,1992
1,1,4,18,1973
1,0,4,18,1986
1,1,4,18,1980
1,1,10,1,1944
1,1,20,25,1986
1,0,11,18,1991
1,1,7,35,1998
1,0,0,18,1995
1,1,1,25,0
1,1,35,1988
1,0,4,25,1998
